GeneSymbol	GeneID	RefSeq_Protein_GI	RefSeq_Protein_Accession	Uniprot_Protein_Accession
Actl7a	298017	672052590; 58865514	XP_008761929; NP_001011973	Q641W9
Actl7b	313183	70794750	NP_001020588	Q4QR76
Actl9	314659	157821135	NP_001101547	B3DMA6
Actl9b	292516	62078523	NP_001013915	Q6AY16
Actn1	81634	13591902	NP_112267	Q9Z1P2
Actn2	291245	281332157	NP_001163796	D3ZCV0
Actn3	171009	19173800	NP_596915	Q8R4I6
Actn4	63836	564327169; 564327173; 672035857; 564327167; 564327171; 77539778	NP_113863; XP_006228751; XP_006228752; XP_008757407; XP_006228749; XP_006228750	Q9QXQ0; A0A0G2K5U9; Q6P786
Actr10	299121	57527131	NP_001009602	Q5M9F7
Actr1a	294010	157823689; 564333949	XP_006231532; NP_001099834	P85515
Actr1b	316333	166157502	NP_001034117	B2RYJ7
Actr2	289820	57164143; 1046858453	XP_017454617; NP_001009268	Q5M7U6
Actr3	81732	70912366	NP_112330	Q4V7C7; A9CM89; A9CM90
Actr3b	362298	300797936	NP_001178789	-
Actr5	362258	157824006; 564344009; 	XP_006235484; NP_001102070	-
Actr6	314718	564358945; 157821245	XP_006241305; NP_001101551	B2RYQ1
Actr8	361107	827475662; 564388052	NP_001296388; XP_006252744	D3ZVT1
Actrt1	302796	62078651	NP_001013983	Q5XIK1
Actrt2	298671	62078603	NP_001013959	Q5XIK3
Actrt3	365763	157822087	NP_001102412	D4ABA6
Acvr1	79558	13324702; 564341000; 672045678; 1046881088; 672045684	XP_017447543; XP_006234276; NP_077812; XP_008760086; XP_008760089	B3DM96; A0A0G2K2P7; P80201
Acvr1b	29381	564361802; 672059861; 40385881	XP_006242377; XP_008763900; NP_954700	P80202
Acvr1c	245921	20806129	NP_620790	P70603; P70539
Acvr2a	29263	672045134; 73853745	XP_008759925; NP_113759	P38444
Acvr2b	25366	564366242; 1046899377; 67514518	XP_017450967; NP_113742; XP_006244134	P38445; A0A0G2JSN4; Q4V8J8
Acvrl1	25237	11967973; 564361778; 564361780; 1046895037; 1046895043; 564361782; 672059823	XP_006242367; NP_071886; XP_017450156; XP_006242365; XP_017450157; XP_006242366; XP_008763895	P80203; Q63559
Acy1	300981	564365356; 564365358; 52851387	XP_006243777; XP_006243778; NP_001005383	Q6PTT1; Q6AYS7
Acy3	293653	672039248; 672039251; 57526957; 564332132; 564332134	NP_001009603; XP_006230796; XP_008758321; XP_006230795; XP_008758320	Q5M876
Acyp1	299203	312596893; 157822589; 312596895; 564356581; 1046892003	XP_017449587; NP_001186096; XP_006240370; NP_001186097; NP_001100216	D4A6X4
Acyp2	364224	281332093; 1046859247	XP_017454814; NP_001162616	D4A1G1
Ada	24165	18426812	NP_569083	Q920P6
Adad1	294979	564336243; 564336241; 62244087	XP_006232341; NP_001006978; XP_006232340	A0A0G2K1X9; Q3KR54
Adad2	691275	1046826674; 672085353	XP_008770874; XP_017443418	-
Adal	311352	1046879596; 672046860; 62078825; 672046862; 672046866; 1046879598; 1046879603	XP_017447223; NP_001014069; XP_008760388; XP_008760391; XP_017447225; XP_017447224; XP_008760389	F1LRK5; Q5FVI8
Adam10	29650	402794619; 1046899528; 564364463	XP_017451003; NP_062127; XP_006243431	Q10743; A0A0G2K562
Adam11	360638	1046849977; 157819429; 1046849971; 1046849979; 564374354; 564374356; 1046849973	XP_017452894; XP_006247441; XP_017452891; NP_001101770; XP_006247442; XP_017452892; XP_017452893	A0A1W2Q6C2; D4A6U1
Adam12	679837	1046846728; 1046846726; 1046816129; 1046816127	XP_017459529; XP_017445729; XP_017445730; XP_017459527	F1M9Z9
Adam15	57025	672043112; 1046873509; 564337373; 564337377; 672043115; 9945328; 672043118	XP_006232806; XP_008759427; XP_017446545; XP_008759426; XP_006232804; XP_008759425; NP_064704	Q9QYV0; Q6P779
Adam17	57027	9945330	NP_064702	Q9Z1K9
Adam18	57029	564389703; 1046864920; 1046864923; 1046824964; 1046864926	XP_017443097; XP_017455872; XP_006253403; XP_017455873; XP_017455874	F1LRY9
Adam19	303068	237681071	NP_001153700	D3ZPM7
Adam1a	56777	9910118	NP_064463	P70505
Adam2	56806	9910120	NP_064462	Q63202
Adam22	57033	1046885895; 1046831077; 1046831088; 1046885885; 1046885903; 1046885887; 1046831067; 1046831075; 1046885891; 1046831065; 1046885901; 1046885906; 1046831069; 1046831073; 1046831083; 1046885893; 1046885897; 1046885899; 1046885908; 1046831071; 1046885889; 1046831079; 1046831081; 1046831086	XP_017458235; XP_017448429; XP_017448435; XP_017458228; XP_017458229; XP_017458231; XP_017448434; XP_017448439; XP_017458227; XP_017448430; XP_017448432; XP_017448438; XP_017458233; XP_017458238; XP_017448433; XP_017448436; XP_017448437; XP_017448440; XP_017458236; XP_017458237; XP_017448431; XP_017458230; XP_017458232; XP_017458234	-
Adam23	301460	71361651; 672065123; 672065125	XP_008765311; XP_008765312; NP_001025070	D3ZT36
Adam24	290774	1046824861; 1046864775	XP_017443074; XP_017455860	F1LW54
Adam26a	290763	281182848	NP_001162590	-
Adam28	290344	32140188; 1046860979	NP_859044; XP_017455117	Q7TSB4
Adam30	690547	157819331	NP_001103070	D3ZIP6
Adam32	361170	672080536; 281604194; 672080538; 	XP_008769584; XP_008769583; NP_001164053; 	Q9EPJ2
Adam33	311425	1046829274; 1046883137; 	XP_017456644; XP_017447830; 	-
Adam34	685846	205360916	NP_001128562	-
Adam34l	364599	564319034; 564389277	XP_006253241; XP_006222310	A0A0G2K693
Adam3a	57021	9945326	NP_064698	P70534; D3ZSV4
Adam4	57022	83523738	NP_064701	Q3B7V9
Adam4l1	500688	157817215	NP_001102747	-
Adam5	498654	1046864024; 61657897; 564389648; 564389650	XP_006253384; NP_064699; XP_006253383; XP_017455707	A0A140TAH8; Q5BK84
Adam6a	192271	20302105	NP_620261	P70535
Adam7	29641	9945324	NP_064697	Q63180
Adam8	499285	564298573; 564331625; 564331627; 1046816165; 564298575; 564331629; 1046846776; 564298577	XP_006230561; XP_006223620; XP_017445732; XP_006230562; XP_006230563; XP_017459591; XP_006223619; XP_006223618	D3ZB52
Adam9	290834	62339281	NP_001014772	Q58GH6
Adamdec1	290338	1046860977; 157819647	NP_001099516; XP_017455116	D3ZW34
Adamts1	79252	148747506	NP_077376	Q68EJ2
Adamts10	314655	1046895775; 1046895777; 406855429; 1046895772; 1046895779	XP_017450309; NP_001258374; XP_017450310; XP_017450312; XP_017450311	A0A0G2K229
Adamts12	294809	312836829	NP_001099890	D3ZTJ3
Adamts13	102554393	672045041	XP_006233941	D4A0T9
Adamts14	309837	157821033; 564397940	XP_006256511; NP_001101106	-
Adamts15	300474	157819065	NP_001100280	D3ZXM1
Adamts16	306664	392334541; 672012609; 392343653; 564296211	XP_006222944; XP_008772532; XP_003748732; XP_003753205	D3ZLL7
Adamts17	293004	564297743; 293344128; 564328867; 392344333	XP_006223406; XP_001059825; XP_006229422; XP_218753	-
Adamts18	361412	300794435	NP_001178873	-
Adamts19	361332	564393555; 157822955	XP_006254817; NP_001101903	D4A2E7
Adamts2	287899	212549639; 1046849028	XP_008765899; NP_001131094	D3ZTE7
Adamts20	315263	672060701; 1046834756	XP_017458840; XP_008764101	-
Adamts3	305253	564383161; 157821619; 564383159	XP_006250835; XP_006250836; NP_001100682	D4AD55; D3ZD61
Adamts4	66015	281306771	NP_076449	Q9ESP7; Q9ESP8; Q9ESP6
Adamts5	304135	38454260	NP_942056	Q6TY19
Adamts6	361886	672041368; 1046874272; 1046827211; 672041362; 1046874275; 1046874277	XP_017446677; XP_017449174; XP_017446675; XP_008758929; XP_017446676; XP_008758932	D4A065
Adamts7	315879	564364873; 114052955; 564364867; 564364875; 1046900346; 672062706; 564364869; 564364871	XP_017451160; XP_006243587; XP_008764669; XP_006243586; XP_006243585; XP_006243589; XP_006243588; NP_001040566	Q1EHB3; A0A140TAF3; Q1XD63
Adamts8	300475	392341834; 392349901	XP_003750503; XP_003754443; 	-
Adamts9	312566	564347897; 564347895; 157823509; 672050432	XP_006236977; XP_006236978; XP_008761348; NP_001101347	D3ZMB0
Adamtsl1	362539	1046832108; 1046832102; 1046832112; 1046891267; 1046832104; 1046832106; 1046832110	XP_017458388; XP_017458391; XP_017449410; XP_017458389; XP_017458386; XP_017458387; XP_017458390	-
Adamtsl2	311827	109469660; 62644808	XP_231125; XP_001078833	D4A4X6
Adamtsl3	308787	564329185; 298566268; 1046842364	NP_001101003; XP_006229539; XP_017444657	D4ADD4
Adamtsl4	310670	1046872777; 1046872792; 1046872779; 1046872781; 1046872787; 77404407; 1046872785; 1046872790; 	XP_017446396; XP_017446395; XP_017446397; XP_017446393; XP_017446392; NP_001029184; XP_008759529; XP_017446394; 	Q4FZU4
Adamtsl5	314626	564358133; 564358125; 564358129; 564358127; 157823759; 564358131; 564358135	XP_006240979; XP_006240977; XP_006240978; XP_006240981; XP_006240982; NP_001101541; XP_006240980	F1M9K2
Adap1	171097	1046853989; 19424252	NP_598251; XP_017453740	O88768
Adap2	56826	1046850300; 9910340	NP_064486; XP_017452973	Q9JK15
Adar	81635	564337437; 564337443; 564337445; 564337439; 13591904; 564337441	XP_006232840; XP_006232838; XP_006232837; XP_006232839; XP_006232836; NP_112268	P55266
Adarb1	25367	672086137; 161377411; 564397428; 1046876400; 161377409; 161377407; 161377413; 564397430	XP_006256337; NP_001104527; XP_006256338; NP_001104525; NP_037026; XP_008771086; XP_017457040; NP_001104526	P51400; G3V649
Adarb2	117088	672081902; 18959240; 1046865279	XP_008769911; NP_579836; XP_017455931	P97616; A0A0G2K6N0
Adat1	690810	157819673; 564395864; 564395866; 1046870394; 564395872; 564395868	XP_006255697; XP_006255700; NP_001103081; XP_006255698; XP_006255696; XP_008770757	D4ADL5
Adat2	361453	169234864	NP_001108500	B0BMY9
Adat3	100125374	157073959; 1046894599	NP_001096831; XP_017450047	Q561R2
Adck1	366698	1046892699; 1046892701; 157817801	XP_017449750; XP_017449749; NP_001102455	D3ZRJ0
Adck2	312258	564346405; 564346407; 672049178; 157822891	NP_001101325; XP_006236387; XP_008761004; XP_006236388	D3ZRE6; B1WBW8
Adck5	362943	209447056	NP_001129270	B5DEJ4
Adcy1	305509	1046858922; 1046858909; 1046858920; 1046858916; 157821703; 1046858914; 1046858911; 1046858918	XP_017454723; XP_017454725; XP_017454726; XP_008768542; XP_017454724; XP_008768543; NP_001100709; XP_017454727	D4A3N4
Adcy10	59320	672074540; 672074542; 672074536; 672074538; 11067413	XP_008767899; NP_067716; XP_008767901; XP_008767902; XP_008767900	Q9Z286
Adcy2	81636	13591906	NP_112269	P26769
Adcy3	64508	564355247; 564355249; 564355245; 169636413; 564355251	XP_006239912; NP_570135; XP_006239911; XP_006239909; XP_006239910	G3V6I2; P21932
Adcy4	54223	126723574; 1046861716; 	NP_062158; XP_017455276; 	Q66HK5
Adcy5	64532	1046853044; 12018268	XP_017453557; NP_072122	Q04400
Adcy6	25289	1046895051; 694872717; 1046895049; 399124771	XP_017450159; NP_001257714; NP_036953; XP_017450158	Q03343; A0A0G2K429; F1LSD1
Adcy7	84420	1046870460; 1046870472; 1046870475; 1046870470; 1046870481; 1046870462; 1046870468; 1046870483; 228480246; 1046870464; 1046870466; 1046870477; 672084518; 1046870458; 1046870479	XP_017456878; NP_445848; XP_017456873; XP_017456877; XP_017456879; XP_017456881; XP_017456872; XP_017456882; XP_017456874; XP_017456870; XP_017456871; XP_008770643; XP_017456875; XP_017456876; XP_017456880	F1LQT1
Adcy8	29241	564360286; 8392852; 564360284	NP_058838; XP_006241765; XP_006241766	P40146
Adcy9	302950	672024526; 672024528; 672066724; 672066722	XP_008765747; XP_008765748; XP_008772840; XP_008772839	A0A096MJB0; M0R5U4
Adcyap1	24166	564370256; 8392855; 564370252; 672066313; 564370254	XP_006245735; XP_006245734; NP_058685; XP_008765640; XP_006245736	P13589
Adcyap1r1	24167	1046883591; 1046883589; 396080326; 396080328; 396080330; 19424148; 1046883587; 396080323; 396080332	NP_001257511; NP_001257512; XP_017447919; NP_598195; NP_001257510; XP_017447918; XP_017447920; NP_001257508; NP_001257509	P32215; Q63414
Add1	24170	564384191; 564384177; 564384195; 1046858111; 1046858102; 564384187; 564384185; 564384193; 564384189; 1046858105; 1046858108; 564384175; 564384179; 78365244	XP_006251222; XP_006251223; NP_058686; XP_006251226; XP_006251231; XP_017454553; XP_017454554; XP_006251221; XP_006251229; XP_006251227; XP_006251230; XP_017454555; XP_017454556; XP_006251228	Q64722; Q63028; Q3B7D4
Add2	24171	158081763; 1046883594; 6978449; 1046883596	NP_036623; NP_001103350; XP_017447922; XP_017447921	Q05764; F8WFS9
Add3	25230	564334284; 672040698; 1046840665; 564334278; 564334280; 255759900; 564334282; 255759898; 1046840672	XP_017444298; XP_006231663; XP_006231664; XP_006231662; XP_017444299; XP_006231661; XP_008758732; NP_113740; NP_001157575	D3ZCH7; Q62847; G3V9D7
Adgb	292477	1046847534; 1046817974; 1046817970; 1046817972; 1046817976	XP_017444505; XP_017444502; XP_017445902; XP_017444500; XP_017444504	F1LYE2
Adgra1	309097	1046846771; 672014855; 	XP_017445731; XP_006223761; 	-
Adgra2	100363275	564389585; 564319108; 564319106; 1046824934; 1046864858; 564389583	XP_006222324; XP_003751665; XP_006253357; XP_003752966; XP_017443092; XP_017455865	-
Adgra3	305408	392333075; 392353188; 	XP_003752785; XP_003751421; 	-
Adgrb1	362931	294345428	NP_001164068	C0HL12
Adgrb2	313058	564352999; 1046888260; 1046888254; 564352997; 1046888251; 1046888258; 1046888262; 1046888264; 157817085; 1046888256	XP_017448824; XP_006238996; XP_006238997; XP_017448825; XP_017448826; XP_017448823; XP_017448827; XP_017448828; XP_017448829; NP_001101384	A0A0G2K6N2; D3ZN99
Adgrb3	301309	1046903706; 157823183	XP_017451823; NP_001100368	D4A831
Adgrd1	689257	1046821705; 1046855134; 392352491; 564315243	XP_001070157; XP_006221405; XP_017454000; XP_017459967	D3ZF17; M0RAV7
Adgre1	316137	564366774; 56090594	XP_006244342; NP_001007558	Q5Y4N8
Adgre4	450235	1046904807; 56090590	XP_017452079; NP_001007559	Q5Y4N7
Adgre5	361383	58865900; 1046870168; 564394963; 1046870170; 1046870166	XP_006255341; XP_006255340; XP_006255343; XP_006255342; NP_001012164	E9PT32; Q5XI36
Adgrf1	301266	1046905581; 1046905577; 1046905579; 1046905586; 1046905584; 1046837185	XP_017452236; XP_017459251; XP_017452234; XP_017452237; XP_017452235; XP_017452238	-
Adgrf2	301269	1046905611; 1046905616; 1046905609; 1046905613; 1046905624; 564311288; 1046837469; 1046837478; 564367635; 1046905619; 1046837463; 1046837465; 1046837471; 1046837467; 1046837474; 1046905607; 1046905621; 1046837476	XP_001069077; XP_017452242; XP_017452246; XP_017459307; XP_017452244; XP_017452245; XP_017452248; XP_017459309; XP_017459311; XP_017459313; XP_017459314; XP_017452241; XP_017452247; XP_236958; XP_017452243; XP_017459308; XP_017459310; XP_017459312	-
Adgrf3	298857	564355128; 157818109; 564355126; 1046891826	XP_017449558; XP_006239863; NP_001100182; XP_006239862	D3Z8X5
Adgrf4	501106	672023781; 564367637	XP_008756198; XP_006244702	D3ZTY4
Adgrf5	245977	672064229; 564367523; 564367517; 672064222; 672064226; 20806161; 672064224	NP_620810; XP_008765056; XP_008765054; XP_008765057; XP_006244659; XP_008765055; XP_006244656	Q9WVT0
Adgrg1	260326	672084038; 672084042; 672084044; 672084048; 564394440; 158711727; 672084050	XP_008770488; XP_008770489; NP_689448; XP_006255128; XP_008770486; XP_008770491; XP_008770492	F1LMW3
Adgrg2	266735	1046906914; 399498557; 399498559; 1046906909; 1046906924; 32189322; 1046906919; 1046906922; 1046906927; 1046906911; 1046906917	NP_001257800; XP_017457414; XP_017457418; NP_001257801; XP_017457412; XP_017457413; NP_852031; XP_017457416; XP_017457411; XP_017457415; XP_017457417	Q8CJ11; Q8CJ07; Q8CJ06
Adgrg3	291854	564321076; 564394568; 564394566; 564321078	XP_006222722; XP_006255189; XP_006222723; XP_006255188	A0A0G2JSN6
Adgrg5	307645	672084134; 1046869964; 564394510; 672084132; 672084142; 672084123; 672084147; 1046869976; 157817835; 672084125; 672084140; 672084121; 672084129; 672084145	XP_008770524; XP_008770525; XP_008770529; NP_001100880; XP_008770520; XP_017456762; XP_008770521; XP_008770530; XP_017456763; XP_008770528; XP_006255163; XP_008770531; XP_008770519; XP_008770523	F1M644
Adgrg6	308376	564324563; 1046844638; 1046817441; 564295966; 564295968; 1046817443; 564324561; 1046844640	XP_017445310; XP_006227709; XP_001071417; XP_017443627; XP_017443624; XP_218313; XP_006222884; XP_017445311	A0A0G2JST1
Adgrg7	304014	157819479; 392351985	XP_003751086; NP_001100568	D4AAI8
Adgrl1	65096	12621148	NP_075251	O88917; O09026; O88916; O35818
Adgrl2	171447	694871014; 694874778; 694879429; 694879431; 694868520; 694878102; 694874500	NP_001177404; NP_001289139; NP_001289138; NP_001289140; NP_599235; NP_001289137; NP_001289141	O88921; D3ZNG0; O88918; O88920; O88919; O88922; Q9Z174; O88923
Adgrl3	170641	672075604; 672075608; 672075612; 1046858052; 672075592; 672075606; 1046858063; 672075594; 672075596; 672075622; 672075600; 672075620; 18677755; 672075590; 672075598; 672075616; 672075626; 1046858054; 1046858075; 672075602; 672075610; 672075614; 672075618; 672075624	XP_008768196; XP_008768201; XP_008768208; XP_017454550; NP_570835; XP_008768200; XP_017454548; XP_008768194; XP_008768197; XP_008768203; XP_008768204; XP_008768205; XP_008768192; XP_017454549; XP_008768190; XP_008768195; XP_008768198; XP_008768207; XP_017454547; XP_008768199; XP_008768202; XP_008768191; XP_008768193; XP_008768206	O88924; Q4LDM7; O88925; O88926; O88927; Q4LDM8; O88928; O88929; Q4LDM5; Q4LDM6; Q9Z173; Q4LDM4
Adgrl4	64124	11560111	NP_071630	Q9ESC0; Q9ESC1
Adgrv1	100362255	1046874073; 1046827328; 1046827330; 1046874075	XP_017449797; XP_017446651; XP_017446650; XP_017449801	-
Adh1	24172	158081755	NP_062159	P06757
Adh4	29646	253735823	NP_058966	A1L128
Adh5	100145871	186972146	NP_001119592	P12711; Q5XIF8
Adh6	310903	564338964; 672044230; 564338968; 1046872953; 58865738; 564338975	XP_017446428; XP_006233436; XP_008759729; XP_006233434; NP_001012084; XP_006233439	Q5XI95
Adh6a	295498	1046872308; 157823871	NP_001099945; XP_006233433	D3ZT84
Adh7	171178	19705435; 672044175	NP_599156; XP_008759715	P41682; O55146
Adhfe1	362474	672051851; 70794742; 672051853	NP_001020594; XP_008761730; XP_008761729	Q4QQW3
Adi1	298934	40018538	NP_954528	Q6V9S4; Q562C9
Adig	100361007	293358231	XP_002729292	D3ZCD9; D4A299
Adipoq	246253	21426809	NP_653345	Q8K3R4
Adipor1	289036	46485456; 564380690	XP_006249914; NP_997470	G3V6I6; Q6P746
Adipor2	312670	564348558; 564348560; 83816891; 564348556; 564348554	NP_001033068; XP_006237248; XP_006237245; XP_006237246; XP_006237247	Q3YAF7; G3V707
Adk	25368	52345435; 564385321	NP_037027; XP_006251693	Q64640; A0A0G2JSL8; O09162; Q642G1; A0A0G2K6X9
Adm	25026	6978507; 672037699	XP_008757909; NP_036847	P43145
Adm2	399475	41386757	NP_958829	Q6L5N4; P61312
Adnp	64622	1109303213; 83267872	NP_073172; NP_001334461	G3V7G3; Q9JKL8
Adnp2	307236	188497657	NP_001120845	B2GVB8
Ado	309732	157821567	NP_001101096	-
Adora1	29290	564380708; 148540068; 564380704	NP_058851; XP_006249923; XP_006249921	P25099
Adora2a	25369	1046876407; 78126172; 1046876403; 1046876405; 1046876409; 1276346064	NP_001344871; NP_445746; XP_017457044; XP_017457042; XP_017457041; XP_017457043	P30543
Adora2b	29316	8392864	NP_058857	P29276
Adora3	25370	713693919; 564338173; 211063459	XP_006233129; NP_001289684; NP_037028; 	P28647; Q63792
Adpgk	315722	564363962; 189217878	NP_001094193; XP_006243232	G3V784
Adprh	25371	52138626; 564376879	NP_899154; XP_006248422	Q66H27; Q02589
Adprhl1	290880	564389952; 1046863342; 1046863344; 61556810	XP_006253501; XP_017455538; NP_001013072; XP_017455537	Q5XIB3
Adprhl2	362600	157822371	NP_001102150	B0K017
Adprm	287406	57164153; 564372548; 564372550	NP_001009246; XP_006246666; XP_006246665	Q5M886; A9Y0H8
Adra1a	29412	564386496; 672078268; 148747171; 564386498; 564386494; 564386492	XP_006252171; NP_058887; XP_006252170; XP_006252169; XP_006252172; XP_008768966	P43140
Adra1b	24173	47575853	NP_058687	Q6IRH4
Adra1d	29413	13324696	NP_077809	P23944; Q71UM4
Adra2a	25083	340805866	NP_036871	P22909; M0R9R3
Adra2b	24174	304434812	NP_612514	Q925E4; Q63021; P19328
Adra2c	24175	19924029	NP_612515	P22086
Adrb1	24925	6978459	NP_036833	P18090
Adrb2	24176	55926227	NP_036624	Q8VBU7
Adrb3	25645	398650652; 672080389	XP_008769537; NP_037240	P26255
Adrm1	65138	13928990	NP_113896	Q9JMB5; Q6P795
Adsl	315150	194473622	NP_001123975	D3ZW08
Adss	289276	157787018	NP_001099445	D4AEP0
Adssl1	684425	392349094; 109479984	XP_003750285; XP_001072867	M0R629
Adtrp	361228	564391094; 62079023	XP_006253895; NP_001014166	Q7TP74; Q5M828
Aebp1	305494	564384496; 155369293	XP_006251378; NP_001094440	A0A0H2UHL3; A2RUV9
Aebp2	297705	672051374; 564349566; 1046884302; 157817322	NP_001100096; XP_017448085; XP_008761599; XP_006237657	D3ZED3
Aen	361594	564328985; 157817035	XP_006229461; NP_001101957	B2GUW6
Afap1	140935	1046858042; 672076533; 672076535; 18266708; 672076537	XP_008768468; XP_008768469; XP_017454546; NP_543176; XP_008768467	Q8VH46; G3V6Z3
Afap1l1	291565	564393652; 157817584	NP_001099612; XP_006254856	D4AB98
